Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 3.774950e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.010516 | lrm: 1.00 | dt: 581ms | tok/sec: 28,204 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.972028 | lrm: 1.00 | dt: 177ms | tok/sec: 92,799 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.909206 | lrm: 1.00 | dt: 287ms | tok/sec: 57,077 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.803773 | lrm: 1.00 | dt: 280ms | tok/sec: 58,507 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.661868 | lrm: 1.00 | dt: 321ms | tok/sec: 50,962 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.502960 | lrm: 1.00 | dt: 307ms | tok/sec: 53,449 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.292211 | lrm: 1.00 | dt: 286ms | tok/sec: 57,195 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.118755 | lrm: 1.00 | dt: 319ms | tok/sec: 51,347 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.977211 | lrm: 1.00 | dt: 284ms | tok/sec: 57,648 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.783213 | lrm: 1.00 | dt: 318ms | tok/sec: 51,469 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.650413 | lrm: 1.00 | dt: 284ms | tok/sec: 57,633 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.544003 | lrm: 1.00 | dt: 305ms | tok/sec: 53,720 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 7.433911 | lrm: 1.00 | dt: 286ms | tok/sec: 57,273 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 7.342322 | lrm: 1.00 | dt: 278ms | tok/sec: 58,854 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 7.213884 | lrm: 1.00 | dt: 305ms | tok/sec: 53,790 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 7.160703 | lrm: 1.00 | dt: 283ms | tok/sec: 57,852 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00016 (0.5%) | loss: 7.065839 | lrm: 1.00 | dt: 279ms | tok/sec: 58,740 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 6.980833 | lrm: 1.00 | dt: 337ms | tok/sec: 48,627 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 6.921239 | lrm: 1.00 | dt: 284ms | tok/sec: 57,720 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00019 (0.8%) | loss: 6.858789 | lrm: 1.00 | dt: 281ms | tok/sec: 58,355 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00020 (0.9%) | loss: 6.750359 | lrm: 1.00 | dt: 301ms | tok/sec: 54,517 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00021 (1.0%) | loss: 6.668449 | lrm: 1.00 | dt: 292ms | tok/sec: 56,072 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00022 (1.1%) | loss: 6.639373 | lrm: 1.00 | dt: 279ms | tok/sec: 58,813 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00023 (1.2%) | loss: 6.576515 | lrm: 1.00 | dt: 279ms | tok/sec: 58,744 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00024 (1.3%) | loss: 6.534269 | lrm: 1.00 | dt: 324ms | tok/sec: 50,618 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00025 (1.4%) | loss: 6.517991 | lrm: 1.00 | dt: 280ms | tok/sec: 58,579 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00026 (1.5%) | loss: 6.462496 | lrm: 1.00 | dt: 297ms | tok/sec: 55,143 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00027 (1.6%) | loss: 6.417479 | lrm: 1.00 | dt: 288ms | tok/sec: 56,889 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00028 (1.7%) | loss: 6.380999 | lrm: 1.00 | dt: 284ms | tok/sec: 57,700 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00029 (1.8%) | loss: 6.372773 | lrm: 1.00 | dt: 311ms | tok/sec: 52,705 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00030 (1.9%) | loss: 6.330461 | lrm: 1.00 | dt: 293ms | tok/sec: 55,899 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00031 (2.0%) | loss: 6.307387 | lrm: 1.00 | dt: 280ms | tok/sec: 58,600 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00032 (2.0%) | loss: 6.294463 | lrm: 1.00 | dt: 300ms | tok/sec: 54,564 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00033 (2.1%) | loss: 6.242529 | lrm: 1.00 | dt: 287ms | tok/sec: 57,152 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00034 (2.2%) | loss: 6.213159 | lrm: 1.00 | dt: 279ms | tok/sec: 58,698 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00035 (2.3%) | loss: 6.175954 | lrm: 1.00 | dt: 260ms | tok/sec: 63,095 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00036 (2.4%) | loss: 6.152307 | lrm: 1.00 | dt: 284ms | tok/sec: 57,741 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00037 (2.5%) | loss: 6.126368 | lrm: 1.00 | dt: 278ms | tok/sec: 58,881 | mfu: 0.2% | epoch: 1 | remaining: 292s    
