GPU compute capability (7, 5) < 8.0, using fallback attention (no Flash Attention)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011391 | lrm: 1.00 | dt: 8628ms | tok/sec: 7,595 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.951449 | lrm: 1.00 | dt: 1537ms | tok/sec: 42,636 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.716288 | lrm: 1.00 | dt: 1544ms | tok/sec: 42,443 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.394685 | lrm: 1.00 | dt: 1540ms | tok/sec: 42,566 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.091773 | lrm: 1.00 | dt: 1553ms | tok/sec: 42,190 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.776198 | lrm: 1.00 | dt: 1540ms | tok/sec: 42,555 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.515304 | lrm: 1.00 | dt: 1553ms | tok/sec: 42,212 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.294749 | lrm: 1.00 | dt: 1547ms | tok/sec: 42,350 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.114672 | lrm: 1.00 | dt: 1561ms | tok/sec: 41,977 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.001879 | lrm: 1.00 | dt: 1550ms | tok/sec: 42,275 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.860666 | lrm: 1.00 | dt: 1557ms | tok/sec: 42,099 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.749601 | lrm: 1.00 | dt: 1564ms | tok/sec: 41,890 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.5%) | loss: 6.631946 | lrm: 1.00 | dt: 1553ms | tok/sec: 42,207 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00013 (1.0%) | loss: 6.537421 | lrm: 1.00 | dt: 1562ms | tok/sec: 41,953 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00014 (1.6%) | loss: 6.460506 | lrm: 1.00 | dt: 1562ms | tok/sec: 41,960 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00015 (2.1%) | loss: 6.366976 | lrm: 1.00 | dt: 1578ms | tok/sec: 41,525 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00016 (2.6%) | loss: 6.309222 | lrm: 1.00 | dt: 1559ms | tok/sec: 42,038 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00017 (3.1%) | loss: 6.252040 | lrm: 1.00 | dt: 1586ms | tok/sec: 41,331 | mfu: 0.2% | epoch: 1 | remaining: 289s    
