GPU compute capability (7, 5) < 8.0, using fallback attention (no Flash Attention)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 2,359,424
  scalars                 : 6
  total                   : 10,748,038
Estimated FLOPs per token: 4.561382e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011057 | lrm: 1.00 | dt: 6934ms | tok/sec: 2,362 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.061997 | lrm: 1.00 | dt: 341ms | tok/sec: 48,034 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.954721 | lrm: 1.00 | dt: 335ms | tok/sec: 48,934 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.653887 | lrm: 1.00 | dt: 337ms | tok/sec: 48,651 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.406633 | lrm: 1.00 | dt: 349ms | tok/sec: 46,886 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.228127 | lrm: 1.00 | dt: 334ms | tok/sec: 49,033 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.097978 | lrm: 1.00 | dt: 336ms | tok/sec: 48,691 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.950031 | lrm: 1.00 | dt: 341ms | tok/sec: 48,046 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.781900 | lrm: 1.00 | dt: 335ms | tok/sec: 48,935 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.652391 | lrm: 1.00 | dt: 337ms | tok/sec: 48,657 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.520598 | lrm: 1.00 | dt: 350ms | tok/sec: 46,799 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.406681 | lrm: 1.00 | dt: 336ms | tok/sec: 48,694 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 7.295245 | lrm: 1.00 | dt: 335ms | tok/sec: 48,872 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 7.204129 | lrm: 1.00 | dt: 343ms | tok/sec: 47,829 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 7.119782 | lrm: 1.00 | dt: 340ms | tok/sec: 48,234 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | loss: 7.048740 | lrm: 1.00 | dt: 336ms | tok/sec: 48,761 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 6.968193 | lrm: 1.00 | dt: 349ms | tok/sec: 46,897 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 6.893634 | lrm: 1.00 | dt: 340ms | tok/sec: 48,159 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 6.851477 | lrm: 1.00 | dt: 337ms | tok/sec: 48,616 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 6.799576 | lrm: 1.00 | dt: 341ms | tok/sec: 48,111 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 6.731921 | lrm: 1.00 | dt: 339ms | tok/sec: 48,298 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 6.730057 | lrm: 1.00 | dt: 336ms | tok/sec: 48,690 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 6.677646 | lrm: 1.00 | dt: 352ms | tok/sec: 46,591 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | loss: 6.641582 | lrm: 1.00 | dt: 338ms | tok/sec: 48,453 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00024 (1.5%) | loss: 6.628763 | lrm: 1.00 | dt: 335ms | tok/sec: 48,889 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | loss: 6.589193 | lrm: 1.00 | dt: 348ms | tok/sec: 47,117 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | loss: 6.541716 | lrm: 1.00 | dt: 338ms | tok/sec: 48,439 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 6.499457 | lrm: 1.00 | dt: 335ms | tok/sec: 48,878 | mfu: 0.2% | epoch: 1 | remaining: 294s    
