GPU compute capability (7, 5) < 8.0, using fallback attention (no Flash Attention)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011391 | lrm: 1.00 | dt: 8449ms | tok/sec: 7,757 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.955243 | lrm: 1.00 | dt: 1541ms | tok/sec: 42,533 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.716087 | lrm: 1.00 | dt: 1546ms | tok/sec: 42,394 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.392721 | lrm: 1.00 | dt: 1554ms | tok/sec: 42,182 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.090075 | lrm: 1.00 | dt: 1541ms | tok/sec: 42,532 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.774381 | lrm: 1.00 | dt: 1557ms | tok/sec: 42,099 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.513987 | lrm: 1.00 | dt: 1548ms | tok/sec: 42,335 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.294685 | lrm: 1.00 | dt: 1556ms | tok/sec: 42,128 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.116052 | lrm: 1.00 | dt: 1562ms | tok/sec: 41,969 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.004856 | lrm: 1.00 | dt: 1549ms | tok/sec: 42,303 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.862647 | lrm: 1.00 | dt: 1559ms | tok/sec: 42,035 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.751591 | lrm: 1.00 | dt: 1549ms | tok/sec: 42,298 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.5%) | loss: 6.633698 | lrm: 1.00 | dt: 1559ms | tok/sec: 42,036 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00013 (1.0%) | loss: 6.539526 | lrm: 1.00 | dt: 1544ms | tok/sec: 42,432 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00014 (1.6%) | loss: 6.462677 | lrm: 1.00 | dt: 1553ms | tok/sec: 42,196 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00015 (2.1%) | loss: 6.369001 | lrm: 1.00 | dt: 1555ms | tok/sec: 42,155 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00016 (2.6%) | loss: 6.311408 | lrm: 1.00 | dt: 1566ms | tok/sec: 41,853 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00017 (3.1%) | loss: 6.254272 | lrm: 1.00 | dt: 1560ms | tok/sec: 42,006 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00018 (3.6%) | loss: 6.201474 | lrm: 1.00 | dt: 1561ms | tok/sec: 41,994 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00019 (4.1%) | loss: 6.166570 | lrm: 1.00 | dt: 1572ms | tok/sec: 41,685 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00020 (4.7%) | loss: 6.115098 | lrm: 1.00 | dt: 1561ms | tok/sec: 41,976 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00021 (5.2%) | loss: 6.047666 | lrm: 1.00 | dt: 1576ms | tok/sec: 41,592 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00022 (5.7%) | loss: 5.992967 | lrm: 1.00 | dt: 1560ms | tok/sec: 42,010 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00023 (6.2%) | loss: 5.973149 | lrm: 1.00 | dt: 1572ms | tok/sec: 41,699 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00024 (6.8%) | loss: 5.936581 | lrm: 1.00 | dt: 1558ms | tok/sec: 42,074 | mfu: 0.2% | epoch: 1 | remaining: 278s    
