GPU compute capability (7, 5) < 8.0, using fallback attention (no Flash Attention)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011059 | lrm: 1.00 | dt: 7399ms | tok/sec: 2,214 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.956513 | lrm: 1.00 | dt: 401ms | tok/sec: 40,830 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.780939 | lrm: 1.00 | dt: 403ms | tok/sec: 40,615 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.518872 | lrm: 1.00 | dt: 401ms | tok/sec: 40,864 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.256438 | lrm: 1.00 | dt: 414ms | tok/sec: 39,615 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.064702 | lrm: 1.00 | dt: 401ms | tok/sec: 40,859 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.925559 | lrm: 1.00 | dt: 408ms | tok/sec: 40,173 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.743059 | lrm: 1.00 | dt: 401ms | tok/sec: 40,850 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.566531 | lrm: 1.00 | dt: 402ms | tok/sec: 40,718 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.432638 | lrm: 1.00 | dt: 415ms | tok/sec: 39,451 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.309126 | lrm: 1.00 | dt: 402ms | tok/sec: 40,735 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.206981 | lrm: 1.00 | dt: 408ms | tok/sec: 40,190 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 7.105884 | lrm: 1.00 | dt: 400ms | tok/sec: 40,909 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 7.021976 | lrm: 1.00 | dt: 402ms | tok/sec: 40,789 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.948245 | lrm: 1.00 | dt: 415ms | tok/sec: 39,490 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 6.887432 | lrm: 1.00 | dt: 402ms | tok/sec: 40,742 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00016 (0.7%) | loss: 6.817377 | lrm: 1.00 | dt: 408ms | tok/sec: 40,146 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 6.748448 | lrm: 1.00 | dt: 401ms | tok/sec: 40,824 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 6.710050 | lrm: 1.00 | dt: 402ms | tok/sec: 40,759 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00019 (1.1%) | loss: 6.661434 | lrm: 1.00 | dt: 409ms | tok/sec: 40,093 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00020 (1.2%) | loss: 6.600305 | lrm: 1.00 | dt: 403ms | tok/sec: 40,660 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 6.606248 | lrm: 1.00 | dt: 410ms | tok/sec: 39,987 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00022 (1.5%) | loss: 6.559113 | lrm: 1.00 | dt: 404ms | tok/sec: 40,532 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00023 (1.6%) | loss: 6.528724 | lrm: 1.00 | dt: 403ms | tok/sec: 40,701 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00024 (1.8%) | loss: 6.513514 | lrm: 1.00 | dt: 417ms | tok/sec: 39,259 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00025 (1.9%) | loss: 6.468598 | lrm: 1.00 | dt: 404ms | tok/sec: 40,581 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00026 (2.0%) | loss: 6.428756 | lrm: 1.00 | dt: 410ms | tok/sec: 39,987 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00027 (2.2%) | loss: 6.388937 | lrm: 1.00 | dt: 403ms | tok/sec: 40,634 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00028 (2.3%) | loss: 6.376943 | lrm: 1.00 | dt: 403ms | tok/sec: 40,648 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00029 (2.4%) | loss: 6.368984 | lrm: 1.00 | dt: 417ms | tok/sec: 39,309 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00030 (2.6%) | loss: 6.340018 | lrm: 1.00 | dt: 403ms | tok/sec: 40,635 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00031 (2.7%) | loss: 6.301854 | lrm: 1.00 | dt: 411ms | tok/sec: 39,839 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00032 (2.8%) | loss: 6.266469 | lrm: 1.00 | dt: 406ms | tok/sec: 40,387 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00033 (3.0%) | loss: 6.236085 | lrm: 1.00 | dt: 404ms | tok/sec: 40,579 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00034 (3.1%) | loss: 6.209793 | lrm: 1.00 | dt: 418ms | tok/sec: 39,239 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00035 (3.3%) | loss: 6.191748 | lrm: 1.00 | dt: 404ms | tok/sec: 40,538 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00036 (3.4%) | loss: 6.181614 | lrm: 1.00 | dt: 418ms | tok/sec: 39,169 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00037 (3.5%) | loss: 6.150279 | lrm: 1.00 | dt: 403ms | tok/sec: 40,626 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00038 (3.7%) | loss: 6.126260 | lrm: 1.00 | dt: 411ms | tok/sec: 39,860 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00039 (3.8%) | loss: 6.173543 | lrm: 1.00 | dt: 403ms | tok/sec: 40,678 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00040 (3.9%) | loss: 6.151185 | lrm: 1.00 | dt: 404ms | tok/sec: 40,515 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00041 (4.1%) | loss: 6.120380 | lrm: 1.00 | dt: 410ms | tok/sec: 39,942 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00042 (4.2%) | loss: 6.106229 | lrm: 1.00 | dt: 404ms | tok/sec: 40,540 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00043 (4.3%) | loss: 6.088400 | lrm: 1.00 | dt: 418ms | tok/sec: 39,153 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00044 (4.5%) | loss: 6.066974 | lrm: 1.00 | dt: 404ms | tok/sec: 40,514 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00045 (4.6%) | loss: 6.044706 | lrm: 1.00 | dt: 405ms | tok/sec: 40,447 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00046 (4.7%) | loss: 6.022146 | lrm: 1.00 | dt: 411ms | tok/sec: 39,869 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00047 (4.9%) | loss: 6.021688 | lrm: 1.00 | dt: 404ms | tok/sec: 40,513 | mfu: 0.2% | epoch: 1 | remaining: 285s    
