GPU compute capability (7, 5) < 8.0, using fallback attention (no Flash Attention)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 2, 'n_head': 1, 'n_kv_head': 1, 'n_embd': 128, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 393,248
  scalars                 : 4
  total                   : 3,538,980
Estimated FLOPs per token: 1.494240e+07
Scaling AdamW LRs by 1/sqrt(128/768) = 2.449490
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011003 | lrm: 1.00 | dt: 6326ms | tok/sec: 10,360 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.002666 | lrm: 1.00 | dt: 567ms | tok/sec: 115,551 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.847358 | lrm: 1.00 | dt: 575ms | tok/sec: 113,935 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.596307 | lrm: 1.00 | dt: 559ms | tok/sec: 117,207 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.325102 | lrm: 1.00 | dt: 567ms | tok/sec: 115,599 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.061726 | lrm: 1.00 | dt: 559ms | tok/sec: 117,236 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.816458 | lrm: 1.00 | dt: 568ms | tok/sec: 115,290 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.601585 | lrm: 1.00 | dt: 563ms | tok/sec: 116,497 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.423136 | lrm: 1.00 | dt: 569ms | tok/sec: 115,193 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.306667 | lrm: 1.00 | dt: 570ms | tok/sec: 115,002 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.171792 | lrm: 1.00 | dt: 561ms | tok/sec: 116,740 | mfu: 0.2% | epoch: 1 | remaining: 300s    
